Date,Open Price,High Price,Low Price,Close Price,No. of Shares
06-jun-23,1290.10,1339.35,1287.95,1330.70,21.66K
05-jun-23,1318.95,1318.95,1287.35,1294.65,66.68K
02-jun-23,1291.90,1309.85,1284.15,1305.35,30.23K
01-jun-23,1294.95,1294.95,1269.40,1271.75,25.80K
31-may-23,1280.00,1316.80,1279.75,1300.40,30.62K
30-may-23,1309.95,1309.95,1281.00,1282.40,14.45K
29-may-23,1309.95,1309.95,1278.85,1299.55,13.21K
26-may-23,1281.95,1301.00,1273.85,1292.05,38.05K
25-may-23,1269.95,1286.05,1263.25,1283.55,17.67K
24-may-23,1268.45,1280.00,1248.70,1272.70,26.24K
23-may-23,1245.95,1266.00,1230.00,1260.45,31.40K
22-may-23,1239.00,1246.65,1224.55,1239.30,20.79K
19-may-23,1240.55,1244.55,1221.35,1240.15,16.02K
18-may-23,1257.95,1257.95,1214.50,1240.60,17.35K
17-may-23,1225.05,1257.30,1225.05,1252.25,16.19K
16-may-23,1235.00,1252.25,1234.95,1244.05,22.73K
15-may-23,1236.30,1240.15,1227.10,1235.05,7.86K
12-may-23,1235.00,1250.35,1231.45,1236.30,30.52K
11-may-23,1242.05,1246.40,1231.30,1239.65,21.71K
10-may-23,1223.90,1245.20,1223.90,1242.20,15.93K
09-may-23,1234.95,1239.25,1220.90,1228.85,15.27K
08-may-23,1227.10,1243.15,1223.00,1229.65,29.27K